Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Steven Adams\adamsst01,C,26,OKC,63,63,1680,8.2,13.8,0.592,0,0.1,0.333,8.2,13.7,0.594,3.4,5.8,0.582,6,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,,122,106
Bam Adebayo\adebaba01,PF,22,MIA,72,72,2417,8.9,16,0.557,0,0.3,0.143,8.8,15.7,0.564,5.3,7.7,0.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,,116,106
LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,1754,10.7,21.6,0.493,1.7,4.3,0.389,9,17.3,0.519,4.3,5.2,0.827,2.8,7.9,10.7,3.5,1,2.4,2,3.5,27.3,,115,112
Kyle Alexander\alexaky01,C,23,MIA,2,0,13,3.8,7.5,0.5,0,0,,3.8,7.5,0.5,0,0,,7.5,3.8,11.3,0,0,0,3.8,3.8,7.5,,96,116
Nickeil Alexander-Walker\alexani01,SG,21,NOP,47,1,591,7.7,20.8,0.368,3.6,10.4,0.346,4.1,10.4,0.391,2,2.9,0.676,0.7,5.9,6.6,7,1.3,0.6,4.2,4.5,20.9,,93,113
Grayson Allen\allengr01,SG,24,MEM,38,0,718,7.6,16.3,0.466,3.7,9.2,0.404,3.9,7.2,0.545,2.5,2.9,0.867,0.5,5,5.5,3.4,0.7,0.1,2.1,3.4,21.5,,114,115
Jarrett Allen\allenja01,C,21,BRK,70,64,1852,7.7,11.9,0.649,0,0.2,0,7.7,11.7,0.658,4.4,6.9,0.633,5.5,11.6,17.1,2.8,1,2.4,2,4.1,19.8,,132,106
Kadeem Allen\allenka01,PG,27,NYK,10,0,117,7.9,18.3,0.432,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,,106,114
Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,3.2,11,0.291,1.2,4.6,0.25,2,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.1,2.7,2.3,1,2.2,3.5,10,,88,108
Justin Anderson\anderju01,SG,26,BRK,10,1,107,4.4,16.8,0.263,2.7,12.8,0.207,1.8,4,0.444,0.9,1.8,0.5,0.4,8.8,9.3,3.5,0,2.7,1.8,5.7,12.4,,78,109
Kyle Anderson\anderky01,SF,26,MEM,67,28,1330,5.5,11.6,0.474,0.8,3,0.282,4.7,8.6,0.541,1.8,2.7,0.667,2,8,10,5.7,1.9,1.3,2.3,3.9,13.7,,109,109
Ryan Anderson\anderry01,C,31,HOU,2,0,14,6.6,23.1,0.286,3.3,16.5,0.2,3.3,6.6,0.5,0,0,,0,23.1,23.1,6.6,3.3,0,3.3,3.3,16.5,,78,98
Giannis Antetokounmpo\antetgi01,PF,25,MIL,63,63,1917,16.3,29.5,0.553,2.1,7,0.304,14.2,22.5,0.631,9.5,15,0.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116,97
Kostas Antetokounmpo\antetko01,PF,22,LAL,5,0,20,7.1,7.1,1,0,0,,7.1,7.1,1,2.4,4.8,0.5,4.8,2.4,7.1,4.8,0,0,2.4,4.8,16.6,,153,115
Thanasis Antetokounmpo\antetth01,SF,27,MIL,20,2,129,8.5,17,0.5,0,3.5,0,8.5,13.5,0.632,2.5,6,0.412,4.2,4.2,8.5,5.3,2.5,0.7,4.2,6.4,19.5,,98,103
Carmelo Anthony\anthoca01,PF,35,POR,58,58,1902,8.4,19.6,0.43,2.2,5.7,0.385,6.2,13.9,0.448,3.4,4,0.845,1.8,7.4,9.2,2.1,1.2,0.7,2.5,4.3,22.4,,104,115
OG Anunoby\anunoog01,SF,22,TOR,69,68,2066,6.6,13,0.505,2,5.2,0.39,4.5,7.8,0.583,1.7,2.3,0.706,1.8,6.5,8.4,2.5,2.2,1,1.8,3.8,16.9,,114,104
Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,930,4.7,11.4,0.409,2.8,7.1,0.391,1.9,4.2,0.439,1.4,2,0.711,1,4.7,5.7,5,1.4,0.2,1.9,5,13.5,,111,113
Trevor Ariza\arizatr01,SF,34,TOT,53,21,1493,4.6,10.4,0.438,2.5,6.7,0.372,2.1,3.8,0.556,2,2.4,0.838,1.1,6.8,7.9,2.9,2.2,0.5,1.8,3.6,13.6,,114,112
Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,3.9,10.1,0.388,2.6,7.5,0.352,1.3,2.6,0.488,1.3,1.7,0.778,1.3,7.7,9,3.1,2.1,0.4,1.7,3.9,11.8,,108,111
Trevor Ariza\arizatr01,SF,34,POR,21,21,702,5.3,10.8,0.491,2.3,5.8,0.4,3,5,0.595,2.8,3.2,0.872,0.9,5.9,6.8,2.8,2.3,0.5,1.9,3.3,15.7,,121,114
D.J. Augustin\augusdj01,PG,32,ORL,57,13,1420,6.3,15.8,0.399,2.4,6.9,0.348,3.9,8.9,0.438,5.5,6.2,0.89,0.8,3.4,4.2,9,1.2,0,2.9,2.5,20.5,,114,114
Deandre Ayton\aytonde01,C,21,PHO,38,32,1236,11.9,21.8,0.546,0.1,0.5,0.231,11.8,21.3,0.553,2.6,3.4,0.753,5.6,11.1,16.7,2.8,1,2.2,3.1,4.5,26.4,,111,108
Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,6.2,17.8,0.348,1.4,4.9,0.284,4.8,12.9,0.373,2.6,3.9,0.66,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86,114
Marvin Bagley III\baglema01,C,20,SAC,13,6,334,11.3,24.3,0.467,0.6,3.2,0.182,10.7,21.1,0.51,3.6,4.5,0.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,,102,111
Lonzo Ball\balllo01,PG,22,NOP,63,54,2025,6.3,15.7,0.403,3.4,9,0.375,2.9,6.7,0.442,1,1.7,0.566,1.6,7.1,8.8,10,2,0.9,4.4,2.9,17,,103,111
Mo Bamba\bambamo01,C,21,ORL,62,0,878,7.3,15.9,0.462,2.1,5.9,0.346,5.3,9.9,0.531,1.7,2.6,0.674,5.5,11.2,16.7,2.3,1.3,4.8,2.3,6.4,18.4,,111,103
J.J. Barea\bareajo01,PG,35,DAL,29,6,450,9.1,22.2,0.411,3.4,9.1,0.376,5.7,13.1,0.434,2.1,2.4,0.909,1.1,4.6,5.7,12,0.5,0.2,4.1,2.9,23.8,,109,116
