Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Harrison Barnes\barneha02,PF,27,SAC,72,72,2482,7.1,15.5,0.46,2,5.2,0.381,5.1,10.3,0.501,4.2,5.2,0.801,1.5,5.4,6.9,3.1,0.8,0.2,1.7,1.8,20.4,,116,116
RJ Barrett\barrerj01,SG,19,NYK,56,55,1704,8.3,20.8,0.402,1.8,5.6,0.32,6.5,15.1,0.432,4.5,7.3,0.614,1.4,6.5,8,4.1,1.6,0.5,3.5,3.5,22.9,,95,114
Will Barton\bartowi01,SF,29,DEN,58,58,1916,8.6,19,0.45,2.8,7.4,0.375,5.8,11.6,0.498,2.6,3.4,0.767,2,7.5,9.4,5.5,1.6,0.7,2.3,3.1,22.5,,113,111
Keita Bates-Diop\bateske01,PF-SF,24,TOT,44,0,744,6.3,14.7,0.427,2.1,6.5,0.33,4.2,8.2,0.504,3.4,4.7,0.72,1.6,6.4,8,1.9,1.2,1.5,1.1,2.7,18.1,,111,113
Keita Bates-Diop\bateske01,PF,24,MIN,37,0,646,6.3,14.8,0.422,2.2,6.8,0.33,4,8,0.5,3.3,4.7,0.708,1.5,6.4,7.9,2.2,1.2,1.4,1,2.6,18,,111,113
Keita Bates-Diop\bateske01,SF,24,DEN,7,0,98,6.6,14.1,0.464,1.5,4.5,0.333,5,9.6,0.526,4,5,0.8,2,6.6,8.6,0,1,2,1.5,3.5,18.7,,111,111
Nicolas Batum\batumni01,SF,31,CHO,22,3,505,2.8,8,0.346,1.4,4.9,0.286,1.4,3.2,0.438,0.9,1,0.9,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,,107,112
Aron Baynes\baynear01,C,33,PHO,42,28,934,9.3,19.3,0.48,3,8.5,0.351,6.3,10.8,0.582,2.8,3.8,0.747,3.6,8.4,12,3.4,0.5,1.2,2.5,7.2,24.4,,113,112
Kent Bazemore\bazemke01,SF,30,TOT,68,21,1688,5.7,15.2,0.375,2.4,6.9,0.344,3.3,8.2,0.4,3.2,4.2,0.769,0.8,7.6,8.4,2.6,2.1,1.1,2.6,5.6,17,,96,112
Kent Bazemore\bazemke01,SF,30,POR,43,21,1111,4.8,14,0.347,2.4,7.3,0.327,2.4,6.6,0.368,2.5,3.1,0.806,0.6,6.8,7.4,2.6,1.9,1.3,2.6,5.2,14.6,,92,113
Kent Bazemore\bazemke01,SF,30,SAC,25,0,577,7.3,17.5,0.418,2.4,6.1,0.384,5,11.4,0.437,4.6,6.3,0.733,1.2,9.1,10.3,2.7,2.4,0.8,2.6,6.3,21.6,,103,109
Darius Bazley\bazleda01,PF,19,OKC,61,9,1130,5.4,13.6,0.394,2.1,6.1,0.348,3.3,7.6,0.432,1.8,2.7,0.694,1.3,9.3,10.6,1.8,1,1.8,1.9,2.4,14.7,,96,108
Bradley Beal\bealbr01,SG,26,WAS,57,57,2053,13.5,29.7,0.455,3.9,11,0.353,9.6,18.7,0.515,8.8,10.4,0.842,1.2,4.3,5.5,7.9,1.6,0.5,4.4,2.9,39.6,,113,117
Malik Beasley\beaslma01,SG,23,TOT,55,14,1209,9.1,21.3,0.425,4.3,11,0.388,4.8,10.3,0.465,2.2,2.6,0.818,0.7,5.2,5.9,3,1.6,0.3,2.3,3.1,24.5,,105,114
Malik Beasley\beaslma01,SG,23,DEN,41,0,746,7.8,19.9,0.389,3.8,10.7,0.36,3.9,9.3,0.421,2.2,2.5,0.868,0.6,4.5,5.1,3.2,2.1,0.4,2.4,3.3,21.5,,100,112
Malik Beasley\beaslma01,SG,23,MIN,14,14,463,11,23.4,0.472,4.9,11.5,0.426,6.1,11.8,0.517,2.1,2.8,0.75,0.9,6.2,7.1,2.7,0.9,0.2,2.1,2.7,29.1,,111,115
Marco Belinelli\belinma01,SG,33,SAS,57,0,883,6.7,17,0.392,3.6,9.6,0.376,3,7.4,0.412,2.6,3.1,0.828,0.4,5,5.4,3.7,0.6,0.1,1,2.4,19.5,,110,118
Jordan Bell\belljo01,C,25,TOT,29,0,256,6.4,12.2,0.522,0.7,2.2,0.333,5.6,10,0.564,3.4,5.6,0.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,,108,112
Jordan Bell\belljo01,C,25,MIN,27,0,235,6.3,11.9,0.533,0.4,1.8,0.222,5.9,10.1,0.588,3.4,5.7,0.586,5.5,9.9,15.4,2.8,0.4,2,3.6,3.4,16.4,,108,112
Jordan Bell\belljo01,C,25,MEM,2,0,21,6.7,15.6,0.429,4.4,6.7,0.667,2.2,8.9,0.25,4.4,4.4,1,4.4,2.2,6.7,4.4,2.2,0,6.7,4.4,22.2,,103,113
DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,915,5.3,11.6,0.456,0.8,3.3,0.231,4.5,8.3,0.546,1.3,2.4,0.542,1.7,6,7.7,4.1,2.8,1,3.1,4.3,12.7,,95,112
Dragan Bender\bendedr01,PF-C,22,TOT,16,3,286,6.8,15.2,0.446,2.5,7.1,0.349,4.3,8.1,0.531,1.6,2.3,0.714,2.6,9.4,12,4.6,0.7,1.5,3.5,6.9,17.6,,102,110
Dragan Bender\bendedr01,C,22,MIL,7,0,91,5,10.5,0.476,2,4.5,0.444,3,6,0.5,1,1.5,0.667,0,10,10,4.5,0,2.5,2.5,8,13,,105,103
Dragan Bender\bendedr01,PF,22,GSW,9,3,195,7.6,17.4,0.437,2.7,8.3,0.324,4.9,9.1,0.541,2,2.7,0.727,3.9,9.1,13,4.7,1,1,3.9,6.4,19.9,,101,114
D?vis Bert?ns\bertada01,PF,27,WAS,54,4,1583,7.8,18,0.434,5.9,13.9,0.424,1.9,4.1,0.471,3.1,3.6,0.852,1,6.2,7.2,2.7,1.1,1,1.7,4.1,24.6,,120,116
Patrick Beverley\beverpa01,PG,31,LAC,51,50,1342,5.2,12,0.431,2.8,7.3,0.388,2.4,4.8,0.496,1.1,1.7,0.66,2,7.4,9.4,6.4,1.9,0.9,2.3,5.5,14.3,,116,107
Khem Birch\birchkh01,C,27,ORL,48,24,922,3.9,7.6,0.51,0,0.1,0,3.9,7.5,0.514,3.5,5.3,0.653,4.8,6.8,11.6,2.6,1.1,1.2,1.6,4.8,11.2,,121,111
Goga Bitadze\bitadgo01,C,20,IND,54,2,471,7.2,15.5,0.467,0.8,4.3,0.19,6.4,11.1,0.574,2.5,3.4,0.727,2.6,8.3,10.9,2.4,1,3.8,2.9,6.7,17.7,,99,105
Bismack Biyombo\biyombi01,C,27,CHO,53,29,1029,7.4,13.5,0.543,0,0,,7.4,13.5,0.543,4.4,7.4,0.603,5.8,9.2,15,2.4,0.5,2.4,2.3,5.6,19.1,,116,112
Nemanja Bjelica\bjeline01,PF,31,SAC,72,67,2011,7.6,15.8,0.481,3.2,7.7,0.419,4.3,8,0.541,1.7,2,0.821,2.7,8.4,11,4.9,1.5,1,2.4,5.2,20,,119,111
Eric Bledsoe\bledser01,PG,30,MIL,61,61,1646,9.3,19.5,0.475,2.1,6,0.344,7.2,13.5,0.533,4.7,5.9,0.79,1.2,6.6,7.8,9.1,1.6,0.7,4.1,3.6,25.3,,112,104
Bogdan Bogdanovi?\bogdabo01,SG,27,SAC,61,28,1766,9.3,21,0.44,4.5,12.1,0.372,4.8,8.9,0.532,2.4,3.2,0.741,0.7,5,5.7,5.7,1.8,0.4,2.8,3.7,25.4,,110,113
Bojan Bogdanovi?\bogdabo02,SF,30,UTA,63,63,2083,9.8,21.8,0.447,4.4,10.7,0.414,5.4,11.2,0.479,5.8,6.5,0.903,0.9,5.1,6.1,3.1,0.8,0.2,3.7,2.6,29.8,,111,113
Bol Bol\bolbo01,PF,20,DEN,7,0,87,8,15.9,0.5,2.3,5.1,0.444,5.7,10.8,0.526,4.5,5.7,0.8,2.8,8,10.8,3.4,1.1,3.4,5.7,6.2,22.7,,102,108
Jonah Bolden\boldejo01,C,24,TOT,7,0,47,4.1,11.2,0.364,0,4.1,0,4.1,7.1,0.571,2,4.1,0.5,3,6.1,9.1,0,3,2,2,10.1,10.1,,80,106
Jonah Bolden\boldejo01,C,24,PHI,4,0,14,6.9,10.4,0.667,0,3.5,0,6.9,6.9,1,0,6.9,0,0,3.5,3.5,0,3.5,0,6.9,13.8,13.8,,57,108
Jonah Bolden\boldejo01,C,24,PHO,3,0,33,2.9,11.5,0.25,0,4.3,0,2.9,7.2,0.4,2.9,2.9,1,4.3,7.2,11.5,0,2.9,2.9,0,8.6,8.6,,94,105
Marques Bolden\boldema01,C,21,CLE,1,0,3,0,0,,0,0,,0,0,,0,0,,0,32.4,32.4,0,16.2,0,0,16.2,0,,,69
Jordan Bone\bonejo01,PG,22,DET,10,0,53,4.6,18.6,0.25,1.9,9.3,0.2,2.8,9.3,0.3,0,0,,0,3.7,3.7,7.4,0.9,0,1.9,5.6,11.1,,76,117
Isaac Bonga\bongais01,SF,20,WAS,66,49,1250,4.4,8.8,0.504,0.9,2.7,0.352,3.5,6.1,0.571,2.6,3.2,0.812,2.7,5.6,8.3,2.8,1.7,0.8,2.2,5.8,12.3,,116,116
Devin Booker\bookede01,SG,23,PHO,70,70,2512,11.8,24.2,0.489,2.7,7.5,0.354,9.2,16.7,0.549,8.8,9.6,0.919,0.5,5.1,5.6,8.6,0.9,0.3,5,4,35.1,,115,114
Chris Boucher\bouchch01,C,27,TOR,62,0,819,8.2,17.4,0.472,2.2,6.9,0.322,6,10.5,0.569,5.3,6.7,0.784,6.2,9.9,16.1,1.5,1.3,3.5,1.6,6.6,23.9,,124,101
Brian Bowen\bowenbr02,SF,21,IND,6,1,31,4.7,15.7,0.3,0,3.1,0,4.7,12.5,0.375,0,0,,1.6,9.4,11,0,0,1.6,1.6,4.7,9.4,,62,109
Ky Bowman\bowmaky01,PG,22,GSW,45,12,1015,6.3,15.1,0.417,1.6,5,0.308,4.8,10.1,0.472,1.6,1.9,0.829,1.1,4.6,5.7,6.2,2.1,0.5,3.3,4.8,15.8,,96,115
Avery Bradley\bradlav01,SG,29,LAL,49,44,1186,6.8,15.4,0.444,2.5,6.9,0.364,4.3,8.4,0.51,0.8,1,0.833,0.7,3.9,4.6,2.5,1.7,0.2,1.9,4.4,17,,103,110
Tony Bradley\bradlto01,C,22,UTA,58,3,663,9.2,13.9,0.667,0.2,0.2,1,9,13.7,0.661,2.2,3.4,0.652,8.1,11.5,19.6,1.7,1,2.4,2.2,8.4,20.9,,135,106
Jarrell Brantley\brantja01,PF,23,UTA,9,0,96,5.1,14.2,0.357,1.5,6.6,0.231,3.5,7.6,0.467,0.5,1,0.5,1,9.1,10.1,5.6,1.5,2.5,3.5,3.5,12.2,,85,106
Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,53,5.5,20.2,0.273,0.9,8.3,0.111,4.6,11.9,0.385,3.7,4.6,0.8,1.8,2.8,4.6,3.7,0,0.9,1.8,2.8,15.6,,82,119
Corey Brewer\breweco01,PF,33,SAC,5,0,33,2.9,5.9,0.5,0,1.5,0,2.9,4.4,0.667,1.5,4.4,0.333,2.9,8.8,11.8,2.9,5.9,0,2.9,10.3,7.4,,91,102
Mikal Bridges\bridgmi01,SF,23,PHO,73,32,2042,5.7,11.2,0.51,1.6,4.5,0.361,4.1,6.7,0.61,2.4,2.8,0.844,1.5,5.2,6.8,3,2.4,1.1,1.7,3.8,15.5,,119,110
Miles Bridges\bridgmi02,SF,21,CHO,65,64,1995,8,18.9,0.424,2.5,7.5,0.33,5.5,11.4,0.486,2.7,3.3,0.809,2.2,6.9,9.1,2.9,1,1.2,2.4,3.3,21.2,,103,114
Oshae Brissett\brissos01,SF,21,TOR,19,0,135,4.6,12.7,0.361,1.1,5.3,0.2,3.5,7.4,0.476,2.8,3.5,0.8,3.2,6,9.2,2.5,1.4,0.4,2.5,6.3,13,,96,107
Ryan Broekhoff\broekry01,SF,29,DAL,17,1,180,5.9,15.8,0.373,5.4,13.7,0.392,0.5,2.1,0.25,1.9,2.1,0.875,1.3,10.2,11.5,3,1.3,1.1,1.6,4,19.1,,114,110
Malcolm Brogdon\brogdma01,PG,27,IND,54,54,1666,9.5,21.7,0.438,2.2,6.7,0.326,7.3,15,0.488,4.8,5.4,0.892,1.3,6.3,7.6,11.1,1,0.3,3.8,2.9,26,,111,111
Dillon Brooks\brookdi01,SG,24,MEM,73,73,2112,9.6,23.6,0.407,3.2,9.1,0.358,6.4,14.5,0.438,3.6,4.5,0.808,1.5,3.9,5.4,3.3,1.4,0.6,2.7,6.1,26.1,,100,113
Bruce Brown\brownbr01,PG,23,DET,58,43,1634,6,13.5,0.443,1,2.9,0.344,5,10.6,0.47,2.6,3.6,0.739,1.8,6.4,8.2,6.9,1.9,0.9,3,4.9,15.6,,106,112
Charlie Brown\brownch02,SG,22,ATL,10,0,40,7,22.1,0.316,3.5,10.5,0.333,3.5,11.6,0.3,5.8,5.8,1,2.3,2.3,4.7,2.3,2.3,2.3,3.5,3.5,23.3,,93,114
Jaylen Brown\brownja02,SG,23,BOS,57,57,1934,10.7,22.1,0.481,3.2,8.4,0.382,7.4,13.7,0.543,4.4,6.1,0.724,1.5,7.5,9.1,2.9,1.6,0.5,3.1,4.2,28.9,,110,108
Moses Brown\brownmo01,C,20,POR,9,0,33,5.8,14.4,0.4,0,0,,5.8,14.4,0.4,4.3,11.6,0.375,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,,81,108
Sterling Brown\brownst02,SF,24,MIL,52,1,767,5.7,15.2,0.371,2.6,8.1,0.324,3,7.1,0.425,1.9,2.4,0.8,1.8,9,10.9,3,1.7,0.4,2.5,3.2,15.8,,97,103
Troy Brown Jr.\browntr01,SF,20,WAS,69,22,1782,7.2,16.3,0.439,1.6,4.7,0.341,5.6,11.6,0.479,2.9,3.6,0.784,2,8.1,10,4.7,2.2,0.2,2.1,3.5,18.8,,109,114
Jalen Brunson\brunsja01,PG,23,DAL,57,16,1022,8.6,18.3,0.466,2,5.7,0.358,6.5,12.7,0.515,2.9,3.5,0.813,1,5.3,6.3,8.9,1,0.2,3.1,3.5,22,,114,114
Thomas Bryant\bryanth01,C,22,WAS,46,36,1147,9.9,17,0.581,1.5,3.7,0.407,8.4,13.3,0.63,3.5,4.7,0.741,4,9.5,13.5,3.4,1,2,2.2,4.2,24.8,,127,114
Reggie Bullock\bullore01,SG,28,NYK,29,19,684,6.4,15.9,0.402,2.6,7.9,0.333,3.8,8,0.469,1.2,1.5,0.81,0.9,3.9,4.8,3,1.8,0.2,1.4,4,16.7,,105,115
Trey Burke\burketr01,PG,27,TOT,33,1,520,8.8,19.5,0.45,3,7,0.427,5.8,12.5,0.463,2.1,2.7,0.793,1.5,3.2,4.7,7.7,1.5,0.2,2,3.1,22.6,,117,113
Trey Burke\burketr01,PG,27,PHI,25,0,329,8.7,18.7,0.465,2.4,5.6,0.421,6.3,13.1,0.483,1.9,2.7,0.722,2.2,2.9,5.2,7.8,1,0.1,1.8,3.1,21.7,,119,114
Trey Burke\burketr01,PG,27,DAL,8,1,191,8.9,20.7,0.427,4,9.4,0.432,4.8,11.4,0.422,2.5,2.8,0.909,0.3,3.5,3.8,7.6,2.3,0.3,2.3,3,24.3,,115,113
Alec Burks\burksal01,SF-SG,28,TOT,66,19,1754,8.8,21,0.418,3.2,8.2,0.385,5.6,12.8,0.439,6.4,7.2,0.887,1.3,6.4,7.7,5.2,1.7,0.5,2.5,3.5,27.2,,112,114
Alec Burks\burksal01,SF,28,GSW,48,18,1390,8.4,20.7,0.406,2.9,7.7,0.375,5.5,13,0.424,6.9,7.7,0.897,1.3,6.5,7.8,5.2,1.7,0.6,2.6,3.7,26.6,,110,114
Alec Burks\burksal01,SG,28,PHI,18,1,364,10.3,22.2,0.461,4.3,10.3,0.416,6,12,0.5,4.5,5.5,0.829,1.5,6,7.5,5.1,1.6,0,2,2.8,29.3,,120,111
Deonte Burton\burtode02,SF,26,OKC,39,0,356,5.9,17.1,0.344,1.4,7.2,0.189,4.5,9.8,0.458,1.1,1.9,0.571,1,6.8,7.8,2.3,1,1.4,2.6,4.6,14.2,,78,110
Jimmy Butler\butleji01,SF,30,MIA,58,58,1959,8.6,18.9,0.455,0.7,3,0.244,7.9,15.9,0.495,10.9,13.1,0.834,2.6,7,9.6,8.7,2.6,0.8,3.2,2,28.8,,123,108
Bruno Caboclo\cabocbr01,C,24,TOT,30,0,244,7.3,17,0.427,1.1,6.3,0.182,6.1,10.7,0.571,1.5,1.7,0.889,4.4,7.1,11.5,2.3,2.9,3.2,2.5,5.9,17.2,,100,105
Bruno Caboclo\cabocbr01,C,24,MEM,22,0,192,6.8,16.8,0.406,1,6.1,0.16,5.8,10.7,0.545,0.5,0.7,0.667,4.1,6.6,10.7,2.4,2.4,2.9,1.7,5.6,15.1,,97,106
Bruno Caboclo\cabocbr01,C,24,HOU,8,0,52,8.9,17.8,0.5,1.8,7.1,0.25,7.1,10.7,0.667,5.3,5.3,1,5.3,8.9,14.2,1.8,4.4,4.4,5.3,7.1,24.9,,108,98
Devontae Cacok\cacokde01,C,23,LAL,1,0,9,15.8,31.7,0.5,0,0,,15.8,31.7,0.5,0,0,,10.6,15.8,26.4,5.3,0,0,0,0,31.7,,122,107
Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,69,26,1762,6.4,13.7,0.467,2.5,6.4,0.385,3.9,7.2,0.541,2.1,2.8,0.775,1,2.8,3.8,3,1.5,0.4,1.7,3.5,17.4,,115,110
Vlatko ?an?ar\cancavl01,PF,22,DEN,14,0,45,6.6,16.5,0.4,1.1,6.6,0.167,5.5,9.9,0.556,4.4,4.4,1,5.5,5.5,11,3.3,1.1,1.1,3.3,7.7,18.7,,106,113
Clint Capela\capelca01,C,25,HOU,39,39,1279,8.8,14,0.629,0,0,,8.8,14,0.629,2,3.8,0.529,6.1,13.4,19.4,1.7,1.2,2.6,2.3,3.7,19.6,,124,105
DeMarre Carroll\carrode01,SF-C,33,TOT,24,0,290,4,10.7,0.379,1.3,5.3,0.242,2.8,5.3,0.515,4.7,6.8,0.69,1.9,7,8.9,4,1.3,0.8,2.8,5.2,14.1,,103,113
DeMarre Carroll\carrode01,SF,33,SAS,15,0,135,3.2,10.3,0.31,1.1,4.6,0.231,2.1,5.7,0.375,4.2,7.1,0.6,2.5,8.5,11,3.9,0.7,0.7,3.5,7.1,11.7,,88,115
DeMarre Carroll\carrode01,C,33,HOU,9,0,155,4.8,11,0.432,1.5,6,0.25,3.3,5.1,0.647,5.1,6.6,0.773,1.5,5.7,7.2,4.2,1.8,0.9,2.1,3.6,16.1,,117,111
Jevon Carter\carteje01,PG,24,PHO,58,2,945,5.1,12.2,0.416,3.1,7.3,0.425,2,4.9,0.402,1.2,1.4,0.852,1.5,4.4,5.9,4.2,2.4,0.9,1.6,4.3,14.4,,114,111
Vince Carter\cartevi01,PF,43,ATL,60,0,876,5.7,16.2,0.352,3.2,10.7,0.302,2.4,5.4,0.451,1.2,1.5,0.793,1,5.6,6.6,2.6,1.2,1.3,1.8,4.8,15.9,,94,116
Wendell Carter Jr.\cartewe01,C,20,CHI,43,43,1256,7,13.2,0.534,0.2,1.1,0.207,6.8,12,0.564,4.3,5.8,0.737,5.3,10.2,15.5,2,1.3,1.4,2.8,6.2,18.6,,115,108
Michael Carter-Williams\cartemi01,SG,28,ORL,45,0,833,6.5,15.2,0.427,1.3,4.4,0.293,5.2,10.8,0.481,4.6,5.6,0.832,2.7,5.9,8.6,6.4,2.9,1.3,3,5.1,18.9,,109,107
Alex Caruso\carusal01,PG,25,LAL,64,2,1175,4.9,11.8,0.412,1.6,4.9,0.333,3.2,6.9,0.468,2.8,3.8,0.734,0.7,4.3,5,5,2.8,0.7,2.1,4,14.1,,107,106
Willie Cauley-Stein\caulewi01,C,26,TOT,54,39,1097,7.6,13.2,0.579,0,0,0,7.6,13.1,0.581,1.7,2.9,0.606,3.7,10.1,13.8,3.1,2.1,2.7,1.7,5.3,17,,117,108
Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,940,7.3,13.1,0.56,0,0,,7.3,13.1,0.56,1.8,2.9,0.614,3.6,9.4,13,3.1,2.3,2.5,1.8,5.2,16.4,,114,109
Willie Cauley-Stein\caulewi01,C,26,DAL,13,2,157,9.5,13.9,0.689,0,0.3,0,9.5,13.5,0.705,1.5,2.8,0.556,4,14.5,18.5,3.1,1.2,3.4,1.5,5.8,20.6,,135,105
Tyson Chandler\chandty01,C,37,HOU,26,5,219,3,3.8,0.778,0,0,,3,3.8,0.778,1.3,2.7,0.462,5.3,8.7,13.9,1.3,1.3,1.7,1.7,6.8,7.2,,135,109
Wilson Chandler\chandwi01,PF,32,BRK,35,3,734,4.8,11.8,0.404,2.4,7.8,0.306,2.4,4,0.597,1.3,1.5,0.87,0.7,8.6,9.3,2.5,1,0.8,2.2,5.1,13.2,,99,110
Joe Chealey\chealjo01,PG,24,CHO,4,0,33,0,10.6,0,0,6.1,0,0,4.6,0,3,3,1,0,0,0,1.5,6.1,0,3,3,3,,29,108
